epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,11880.7,1.62474,0.87543,1.29763,0.2042,0.10446,0.05107,0.01308,3.19154,5.16056,2.16267,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,12101.2,1.63503,0.88226,1.30839,0.22,0.10446,0.05673,0.01751,3.25546,5.27689,2.19623,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,12322.6,1.62435,0.87406,1.30311,0.21842,0.11429,0.06317,0.01618,3.17027,4.8029,2.12326,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,12543.9,1.60452,0.86642,1.2913,0.19767,0.10559,0.06122,0.01709,3.13212,4.84388,2.10499,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,12764.7,1.61157,0.85047,1.29531,0.1765,0.10357,0.04172,0.01141,3.21996,5.31398,2.19138,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,12984.9,1.60076,0.8536,1.29121,0.1908,0.11161,0.05462,0.01548,3.19735,4.93754,2.17577,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,13204.7,1.60547,0.83547,1.29059,0.18249,0.10268,0.05076,0.01307,3.21658,5.03732,2.16968,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,13425.5,1.59321,0.84232,1.28477,0.20988,0.10222,0.05106,0.01307,3.18839,4.8335,2.15444,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,13646.7,1.59154,0.8252,1.28209,0.20945,0.10179,0.05172,0.01233,3.17719,5.09485,2.10201,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,13867,1.57373,0.81878,1.27338,0.18353,0.10446,0.0495,0.01253,3.21213,4.81233,2.15816,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,14088.5,1.57173,0.81383,1.27393,0.20219,0.09732,0.04495,0.01147,3.19276,5.12053,2.16747,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,14310.2,1.56586,0.80392,1.27387,0.1794,0.08661,0.03382,0.00954,3.20811,5.40336,2.15155,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,14531.6,1.57094,0.81373,1.27796,0.18076,0.09196,0.03792,0.00944,3.18963,5.28201,2.16158,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,14753.1,1.54301,0.7902,1.25806,0.18851,0.09749,0.04404,0.01084,3.19301,5.23375,2.15397,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,14974.2,1.55395,0.80486,1.2661,0.1987,0.09107,0.04298,0.01173,3.19585,5.22564,2.15089,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,15195.2,1.54593,0.78681,1.25064,0.19723,0.09643,0.04335,0.01083,3.19798,5.1736,2.16512,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,15416.8,1.5229,0.79062,1.25536,0.1877,0.09018,0.03893,0.01035,3.14784,5.38367,2.15377,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,15638.6,1.53402,0.78406,1.25534,0.17445,0.08125,0.03736,0.00995,3.13658,5.31091,2.13912,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,15860.3,1.52895,0.76786,1.25108,0.1885,0.08482,0.03441,0.0092,3.15662,5.29127,2.15782,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,16081.2,1.51065,0.75897,1.2435,0.17058,0.08661,0.03153,0.00912,3.1948,5.33403,2.17164,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,16301.7,1.51536,0.7664,1.24486,0.18145,0.08393,0.03255,0.0103,3.19704,5.40998,2.18904,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,16522.3,1.50169,0.75627,1.24007,0.1767,0.08036,0.0355,0.0098,3.16652,5.46568,2.1481,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,16743.6,1.50248,0.75437,1.23471,0.18641,0.07768,0.03313,0.00958,3.18351,5.57536,2.17195,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
