epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,14674.2,1.57167,0.82007,1.29495,0.94837,0.81107,0.86417,0.4082,1.88879,0.91309,1.56419,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,14902.4,1.57582,0.82643,1.29234,0.9565,0.81123,0.86475,0.40856,1.88951,0.90089,1.56713,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,15129.7,1.56402,0.81043,1.2926,0.96034,0.80662,0.86823,0.40634,1.89627,0.89827,1.57385,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,15357.2,1.55716,0.80535,1.28808,0.96048,0.80725,0.8677,0.40591,1.90662,0.89287,1.57753,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,15584.4,1.55078,0.80817,1.29005,0.95493,0.80875,0.86059,0.40824,1.89325,0.90689,1.56905,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,15812.1,1.55347,0.80475,1.28882,0.95014,0.81223,0.86311,0.41344,1.8742,0.9013,1.55534,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,16040.3,1.54285,0.79319,1.28049,0.95295,0.80789,0.86373,0.41441,1.87221,0.89087,1.56185,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,16267.1,1.52979,0.77974,1.2692,0.95405,0.8098,0.86579,0.41651,1.87878,0.90175,1.56294,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,16494.4,1.53141,0.78559,1.27269,0.9603,0.80598,0.86333,0.40993,1.88414,0.89038,1.56992,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,16722.2,1.5234,0.78007,1.26753,0.95652,0.8187,0.86926,0.41151,1.88105,0.89368,1.57046,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,16949.5,1.51938,0.78272,1.26873,0.95287,0.81018,0.86494,0.40925,1.8941,0.90119,1.57588,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,17176.3,1.51254,0.76716,1.26001,0.95856,0.81043,0.86587,0.40948,1.888,0.9084,1.56729,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,17403.4,1.50304,0.76683,1.26404,0.96106,0.81644,0.86763,0.41355,1.88116,0.90249,1.5714,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,17630.6,1.49267,0.75125,1.25184,0.96083,0.81552,0.87051,0.41479,1.88529,0.89335,1.57777,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,17858.1,1.48129,0.74601,1.2461,0.95475,0.82252,0.8693,0.4137,1.88644,0.88633,1.58109,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,18085.4,1.48178,0.74277,1.24769,0.95466,0.81696,0.86333,0.41118,1.88827,0.89877,1.57969,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,18312.8,1.47723,0.74529,1.24726,0.96296,0.81807,0.86832,0.41092,1.89783,0.90338,1.58721,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,18540.4,1.47967,0.73874,1.24993,0.95674,0.82188,0.86414,0.40901,1.89924,0.90181,1.59286,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,18767.9,1.46936,0.72941,1.23656,0.95457,0.82125,0.86474,0.41184,1.88935,0.90181,1.58069,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,18995.6,1.46716,0.72704,1.24075,0.95292,0.82413,0.86541,0.41326,1.88566,0.90322,1.57746,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,19222.8,1.4644,0.73128,1.24257,0.93812,0.82938,0.86483,0.41067,1.88533,0.90076,1.57876,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,19449.8,1.46136,0.72237,1.2326,0.94064,0.82654,0.86659,0.41088,1.8934,0.89966,1.59271,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,19676.8,1.45897,0.71656,1.23693,0.95119,0.81815,0.86438,0.41132,1.89658,0.89732,1.59673,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,19904.2,1.43909,0.70554,1.22661,0.95136,0.81997,0.86234,0.40924,1.8983,0.9019,1.59373,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,20131.8,1.43502,0.7026,1.22629,0.94398,0.8254,0.85962,0.4105,1.8932,0.89626,1.59097,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,20359.3,1.42429,0.69531,1.21723,0.96026,0.81552,0.86349,0.41036,1.89514,0.8955,1.59073,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,20586.8,1.41556,0.69067,1.2182,0.95652,0.8187,0.86437,0.41019,1.89565,0.89734,1.58934,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,20814.5,1.40962,0.68545,1.20931,0.95289,0.81807,0.86396,0.41154,1.89578,0.89838,1.59434,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,21042.5,1.40275,0.68492,1.20901,0.95583,0.81216,0.86154,0.40692,1.8961,0.90284,1.59466,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,21270.1,1.40398,0.67183,1.20598,0.95832,0.81489,0.85909,0.40616,1.89402,0.90921,1.59226,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,21497.6,1.40058,0.66943,1.20613,0.95958,0.81544,0.85903,0.40531,1.89645,0.91405,1.59559,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,21725.1,1.38504,0.66927,1.19884,0.95469,0.81764,0.85812,0.40684,1.8981,0.9178,1.5999,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,21952.7,1.38894,0.6631,1.2002,0.9528,0.81807,0.85788,0.40866,1.89647,0.91783,1.60087,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,22180.1,1.37323,0.66192,1.19082,0.94885,0.8187,0.85821,0.40898,1.89622,0.91613,1.60263,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,22407.8,1.37111,0.65472,1.18922,0.94585,0.82227,0.85604,0.40587,1.8934,0.91568,1.60159,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,22635.7,1.35354,0.65306,1.18409,0.95005,0.82061,0.85598,0.40571,1.89295,0.91847,1.60098,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,22863.6,1.35691,0.64367,1.18214,0.9471,0.81997,0.85514,0.40721,1.89558,0.91613,1.60461,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,23091.5,1.35975,0.65171,1.18283,0.94724,0.82061,0.855,0.40717,1.89464,0.91732,1.60608,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
