epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,12781.7,1.63087,0.95034,1.32947,0.27995,0.15256,0.10233,0.03294,3.11184,4.91579,2.1564,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,13024,1.63449,0.95083,1.33009,0.25047,0.13998,0.08827,0.03105,3.21935,4.96035,2.20931,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,13266.6,1.62035,0.92381,1.32346,0.21372,0.12741,0.06535,0.02263,3.16272,5.04843,2.17778,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,13508.7,1.62137,0.92972,1.3305,0.20639,0.12909,0.06493,0.01994,3.30695,5.1356,2.28982,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,13751.1,1.60833,0.90967,1.32088,0.19084,0.11987,0.06192,0.01896,3.26536,5.30492,2.25686,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,13994.1,1.62075,0.92653,1.32013,0.20281,0.13328,0.0607,0.01998,3.20138,5.1542,2.21541,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,14237.4,1.60081,0.90819,1.31128,0.23512,0.1425,0.07457,0.02558,3.17772,4.95913,2.20314,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,14480.4,1.59175,0.90019,1.30741,0.2239,0.13747,0.07331,0.02584,3.25693,4.91959,2.25251,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,14723.4,1.58849,0.89605,1.29974,0.21662,0.13328,0.07164,0.02485,3.31873,4.9586,2.33093,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,14966.2,1.58412,0.88198,1.29928,0.22207,0.14082,0.06953,0.02282,3.30301,5.05454,2.3097,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,15209.4,1.5765,0.87549,1.29892,0.22196,0.13495,0.06956,0.02379,3.30981,4.93078,2.30996,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,15453,1.5831,0.87714,1.30188,0.21851,0.1316,0.06741,0.02303,3.28603,4.93026,2.31769,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,15696.3,1.56383,0.86901,1.29438,0.23369,0.14669,0.06955,0.02475,3.24493,4.88043,2.29982,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,15939.5,1.55829,0.8488,1.28578,0.25319,0.14379,0.07785,0.02611,3.20511,5.01257,2.294,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,16182.7,1.55566,0.85775,1.28484,0.26106,0.15842,0.08664,0.0279,3.20517,4.97464,2.27551,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,16425.5,1.5499,0.8444,1.28004,0.25537,0.14669,0.08036,0.02454,3.2042,4.99078,2.2538,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,16668.6,1.54318,0.82852,1.28128,0.2518,0.1512,0.08152,0.02492,3.18873,4.89448,2.26356,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
